timestamp,ax,ay,az,gx,gy,gz,activity
1769887438.4040394,0.972778,0.243042,0.125732,0.427246,-0.366211,-0.610352,phone_interaction_1
1769887438.4239197,0.974365,0.239380,0.133911,0.793457,0.305176,-0.915527,phone_interaction_1
1769887438.445083,0.970703,0.241455,0.135986,0.671386,-0.549316,-0.915527,phone_interaction_1
1769887438.4632556,0.973022,0.242065,0.132690,0.671386,-1.281738,-0.793457,phone_interaction_1
1769887438.4851496,0.971314,0.241455,0.126343,0.549316,-0.854492,-0.244141,phone_interaction_1
1769887438.5050294,0.973267,0.243652,0.131104,0.305176,-0.732422,0.000000,phone_interaction_1
1769887438.5258453,0.974365,0.239746,0.133911,0.183105,-0.671386,0.000000,phone_interaction_1
1769887438.5446694,0.972412,0.240234,0.132202,0.854492,-0.061035,0.000000,phone_interaction_1
1769887438.565685,0.981445,0.239746,0.135376,0.732422,-0.305176,-0.305176,phone_interaction_1
1769887438.5862246,0.971802,0.240967,0.134155,0.610352,-0.610352,-0.366211,phone_interaction_1
1769887438.6059728,0.973633,0.239990,0.129517,1.037598,-0.427246,-0.244141,phone_interaction_1
1769887438.6257691,0.973022,0.240479,0.129639,0.793457,-0.671386,0.000000,phone_interaction_1
1769887438.6458638,0.973022,0.240601,0.130615,0.976562,-0.610352,-0.061035,phone_interaction_1
1769887438.6650493,0.974243,0.240479,0.129761,0.854492,-0.305176,-0.061035,phone_interaction_1
1769887438.685124,0.974732,0.239502,0.131226,0.976562,-0.244141,0.061035,phone_interaction_1
1769887438.7060251,0.976440,0.237549,0.127808,0.183105,-0.610352,-0.122070,phone_interaction_1
1769887438.7250757,0.974732,0.240601,0.131714,0.244141,-0.610352,-0.122070,phone_interaction_1
1769887438.7450473,0.972900,0.241211,0.133423,0.305176,-0.793457,0.122070,phone_interaction_1
1769887438.7664616,0.971314,0.241211,0.129639,0.122070,-0.915527,0.244141,phone_interaction_1
1769887438.7860818,0.973999,0.238281,0.127930,0.549316,-0.671386,0.244141,phone_interaction_1
1769887438.8067076,0.972900,0.239502,0.127686,0.061035,-0.610352,0.366211,phone_interaction_1
1769887438.825496,0.973877,0.238892,0.128662,0.366211,-0.122070,0.427246,phone_interaction_1
1769887438.846098,0.975220,0.240356,0.133423,0.488281,-0.244141,0.305176,phone_interaction_1
1769887438.865018,0.974854,0.238892,0.132568,0.854492,-0.366211,0.427246,phone_interaction_1
1769887438.8845794,0.979980,0.235474,0.129272,0.488281,-0.732422,0.061035,phone_interaction_1
1769887438.9060874,0.976196,0.236206,0.130859,0.305176,-0.976562,-0.244141,phone_interaction_1
1769887438.9245942,0.975342,0.237549,0.131592,0.244141,-1.159668,-0.305176,phone_interaction_1
1769887438.944887,0.978150,0.235962,0.131226,0.305176,-1.403808,-0.427246,phone_interaction_1
1769887438.9647577,0.974732,0.236938,0.127808,0.305176,-1.281738,-0.549316,phone_interaction_1
1769887438.988397,0.974732,0.237427,0.127808,0.061035,-1.403808,-0.549316,phone_interaction_1
1769887439.0061662,0.972656,0.239136,0.128296,0.183105,-0.915527,-0.244141,phone_interaction_1
1769887439.0258603,0.969849,0.242798,0.129395,0.305176,-1.464844,0.244141,phone_interaction_1
1769887439.043737,0.974243,0.240479,0.131592,0.610352,-1.403808,0.427246,phone_interaction_1
1769887439.0647624,0.979126,0.234985,0.127686,0.488281,-1.281738,0.610352,phone_interaction_1
1769887439.0851362,0.977905,0.234619,0.124634,0.488281,-0.793457,0.244141,phone_interaction_1
1769887439.1065903,0.976929,0.236206,0.128662,0.122070,-0.732422,-0.183105,phone_interaction_1
1769887439.126942,0.974487,0.238525,0.129395,0.671386,-0.732422,0.000000,phone_interaction_1
1769887439.1460466,0.975708,0.235474,0.123535,0.244141,-1.403808,0.000000,phone_interaction_1
1769887439.1666775,0.974854,0.236328,0.119751,-0.122070,-0.854492,0.366211,phone_interaction_1
1769887439.1849372,0.974121,0.240112,0.131714,-0.488281,-1.098633,0.732422,phone_interaction_1
1769887439.2041733,0.974854,0.235718,0.120728,-0.488281,-0.671386,1.037598,phone_interaction_1
1769887439.223907,0.983887,0.223022,0.122070,-0.061035,0.427246,-0.305176,phone_interaction_1
