timestamp,ax,ay,az,gx,gy,gz,activity
1769345181.4104767,-0.904297,0.245483,0.225342,-1.525879,-0.488281,-0.488281,stair_down
1769345181.4272013,-0.906494,0.254395,0.222046,-0.976563,-1.281738,-1.098633,stair_down
1769345181.4508145,-0.914063,0.261353,0.225952,-0.183106,-0.671387,-0.183106,stair_down
1769345181.4689002,-0.919800,0.263428,0.221436,0.366211,-0.305176,-1.403809,stair_down
1769345181.4896293,-0.924194,0.256958,0.216431,0.610352,-0.427246,-1.525879,stair_down
1769345181.5100148,-0.911377,0.252808,0.211914,-0.854492,-4.882813,-2.624512,stair_down
1769345181.5297523,-0.934692,0.256836,0.205200,-1.220703,-6.774904,-2.868653,stair_down
1769345181.5465536,-0.936523,0.260498,0.195068,-1.892090,-7.019045,-2.319336,stair_down
1769345181.5666075,-0.947632,0.276611,0.188599,-2.014160,-7.324221,-1.098633,stair_down
1769345181.5905323,-0.947510,0.283936,0.176514,0.000000,-5.798342,-0.915528,stair_down
1769345181.6082666,-0.928589,0.275635,0.174927,0.793457,-7.568361,-0.488281,stair_down
1769345181.6283576,-0.932861,0.277954,0.189087,2.441406,-6.347658,0.427246,stair_down
1769345181.649746,-0.924561,0.256104,0.203003,6.591799,4.760742,2.258301,stair_down
1769345181.6695023,-0.851318,0.245972,0.205811,6.347658,8.422852,2.929688,stair_down
1769345181.6902986,-0.829102,0.257202,0.198120,6.835939,8.300781,2.685547,stair_down
1769345181.7070668,-0.798462,0.271484,0.216675,8.850098,4.333496,-0.854492,stair_down
1769345181.7286544,-0.830566,0.274780,0.234497,9.094238,1.098633,-2.319336,stair_down
1769345181.7533207,-0.869629,0.275391,0.262695,6.591799,0.061035,-5.615236,stair_down
1769345181.7669,-0.902710,0.283447,0.254639,3.601075,-5.432129,-8.117676,stair_down
1769345181.7922745,-0.947021,0.281982,0.239380,-2.075195,-8.911133,-11.779789,stair_down
1769345181.8164427,-0.936523,0.295288,0.229004,-4.333496,-15.869144,-15.380863,stair_down
1769345181.8352292,-0.973633,0.331421,0.210205,-4.516602,-18.493652,-15.258793,stair_down
1769345182.0532587,-0.990601,0.355225,0.180664,1.464844,-16.113281,-12.573246,stair_down
1769345182.0552683,-0.964233,0.351685,0.156860,3.601075,-15.075687,-12.634281,stair_down
1769345182.0557768,-0.974243,0.360596,0.134644,5.798342,-12.817387,-11.108402,stair_down
1769345182.0557768,-0.972168,0.344971,0.142944,9.521484,-2.258301,-3.967286,stair_down
1769345182.056286,-0.911743,0.326050,0.163330,9.948730,3.112794,-1.831055,stair_down
1769345182.056286,-0.854858,0.301514,0.196167,9.094238,2.197266,-1.708985,stair_down
1769345182.056286,-0.828857,0.281982,0.227051,7.629396,1.525879,-4.516602,stair_down
1769345182.056882,-0.779175,0.265625,0.246704,7.995607,0.854492,-1.892090,stair_down
1769345182.057537,-0.776367,0.252075,0.242310,9.155273,5.737307,1.892090,stair_down
1769345182.1270843,-0.718018,0.229614,0.237671,8.544922,7.324221,1.892090,stair_down
1769345182.1270843,-0.687988,0.212646,0.199341,5.432129,3.173829,2.380371,stair_down
1769345182.1270843,-0.674438,0.224487,0.184326,1.953125,-2.258301,3.234864,stair_down
1769345182.1270843,-0.723999,0.244507,0.177734,-1.647950,-7.019045,3.540040,stair_down
1769345182.1270843,-0.788452,0.262085,0.190674,-5.310059,-5.249023,3.845216,stair_down
1769345182.1270843,-0.817139,0.275146,0.190063,-8.056641,-4.455566,5.493164,stair_down
1769345182.1482787,-0.842163,0.289063,0.184448,-9.948730,-1.708985,6.958010,stair_down
1769345182.1700583,-0.833862,0.301392,0.167969,-10.253906,1.098633,6.896975,stair_down
1769345182.186324,-0.808228,0.302856,0.182373,-8.605957,2.075195,2.563477,stair_down
1769345182.209557,-0.809937,0.275635,0.154663,-3.479005,5.554201,-8.056641,stair_down
1769345182.2305007,-0.769043,0.316895,0.144043,-11.657719,1.159668,-6.164553,stair_down
1769345182.2462232,-0.827881,0.392456,0.151855,-5.310059,0.305176,1.464844,stair_down
1769345182.2689848,-0.856812,0.329712,0.178223,-3.906251,5.920412,5.554201,stair_down
1769345182.2881446,-0.871948,0.321411,0.184204,-1.708985,11.779789,12.817387,stair_down
1769345182.3096302,-0.899536,0.340332,0.266113,0.366211,15.197758,16.784668,stair_down
1769345182.3294353,-1.021851,0.315552,0.320435,0.610352,15.441898,20.874023,stair_down
1769345182.348527,-1.209351,0.227539,0.348511,-2.807618,17.761230,18.310547,stair_down
1769345182.3698854,-1.369995,0.143555,0.370728,-7.202150,25.451668,23.742683,stair_down
1769345182.3862612,-1.311523,0.048218,0.399170,-16.662598,13.671879,16.784668,stair_down
1769345182.406317,-1.361084,0.064331,0.430176,-21.423340,13.610844,13.000492,stair_down
1769345182.4268856,-1.244629,0.086304,0.398315,-18.920898,0.427246,-0.915528,stair_down
1769345182.4508016,-1.235840,0.143433,0.371338,-11.718754,-20.935059,-7.080080,stair_down
1769345182.4682477,-1.175171,0.227539,0.408569,-3.051759,-18.127441,-12.146000,stair_down
1769345182.4909868,-1.144165,0.246094,0.394043,-1.037598,-17.517090,-18.249512,stair_down
1769345182.5106115,-1.102783,0.333252,0.294067,3.540040,-9.094238,-14.282230,stair_down
1769345182.530665,-0.990967,0.261475,0.249390,0.244141,-2.014160,-19.165039,stair_down
1769345182.5502973,-0.884521,0.292114,0.157349,-9.887695,-8.605957,-10.253906,stair_down
1769345182.5725493,-0.860474,0.324097,0.083252,-13.732914,-11.962894,-2.624512,stair_down
1769345182.5906777,-0.833740,0.302612,0.087036,-13.793949,-5.859377,1.159668,stair_down
1769345182.6075165,-0.794189,0.274780,0.088501,-9.521484,3.601075,5.981447,stair_down
1769345182.6267025,-0.770142,0.198364,0.107788,-7.385256,10.742188,7.446291,stair_down
1769345182.6510284,-0.751221,0.148926,0.122437,-7.324221,15.502934,7.202150,stair_down
1769345182.6691048,-0.694946,0.135376,0.123047,-5.126953,12.817387,5.798342,stair_down
1769345182.6887848,-0.730957,0.122070,0.124268,-3.662110,9.399414,6.896975,stair_down
1769345182.7070417,-0.744873,0.119995,0.129028,-2.807618,-2.197266,-1.831055,stair_down
1769345182.7280617,-0.784058,0.154785,0.127930,-0.427246,0.854492,3.234864,stair_down
1769345182.7515996,-0.716919,0.187744,0.118530,1.037598,-2.746582,-1.953125,stair_down
1769345182.7711413,-0.708374,0.214233,0.129883,3.051759,-8.056641,-2.624512,stair_down
1769345182.7890847,-0.688843,0.281128,0.132568,1.037598,-12.756351,-5.920412,stair_down
1769345182.8145518,-0.837402,0.360474,0.172607,11.230473,-17.089844,-0.915528,stair_down
1769345182.8300185,-0.931641,0.304688,0.127319,16.479492,5.615236,2.868653,stair_down
1769345182.8501797,-0.930176,0.256470,0.102051,16.540527,11.901859,8.361816,stair_down
1769345182.8701894,-0.864990,0.207397,0.115356,11.474613,10.803223,10.314941,stair_down
1769345182.8922663,-0.854004,0.219727,0.148804,2.624512,6.713869,5.310059,stair_down
1769345182.9112794,-0.869385,0.245605,0.170776,6.286623,3.356935,6.835939,stair_down
1769345182.9311962,-0.896240,0.238037,0.167603,6.896975,2.685547,5.493164,stair_down
1769345182.9488919,-0.900513,0.261353,0.130493,6.652834,2.014160,6.896975,stair_down
1769345182.9698007,-1.066772,0.255371,0.205688,2.197266,3.173829,4.211426,stair_down
1769345182.9882908,-1.291748,0.253052,0.326294,-6.164553,15.075687,4.760742,stair_down
1769345183.0085511,-1.419312,0.265259,0.381958,-2.380371,31.677254,5.371094,stair_down
1769345183.0313003,-1.289551,0.170654,0.373901,-3.234864,45.837418,0.122070,stair_down
1769345183.0515592,-0.984741,0.173340,0.355103,-3.967286,21.545410,-2.502441,stair_down
1769345183.0714285,-1.207764,0.279297,0.451660,-13.122562,-3.234864,-8.605957,stair_down
1769345183.0936136,-1.404663,0.300537,0.498535,-11.230473,4.516602,-11.535648,stair_down
1769345183.1105878,-1.218872,0.345093,0.476563,-13.671879,12.939457,-13.610844,stair_down
1769345183.130999,-1.007813,0.348999,0.352173,-8.056641,10.131836,-18.310547,stair_down
1769345183.1498692,-0.894043,0.312256,0.180786,-8.789063,-1.342773,-17.089844,stair_down
1769345183.1696198,-0.752563,0.346802,0.084351,-8.972168,-13.854984,-6.896975,stair_down
1769345183.1863909,-0.796875,0.414185,0.104370,-20.080566,-33.630371,-8.666992,stair_down
1769345183.2116764,-0.934204,0.490845,0.100586,-17.395020,-27.771004,-0.610352,stair_down
1769345183.2332902,-0.871216,0.425659,0.192627,1.647950,-4.516602,1.342773,stair_down
1769345183.2514803,-0.829346,0.322021,0.260254,9.094238,7.446291,11.718754,stair_down
1769345183.2682066,-0.757690,0.288696,0.259277,12.878422,16.906738,10.498047,stair_down
1769345183.2910295,-0.590576,0.194824,0.278931,18.798828,20.874023,8.483887,stair_down
1769345183.3092864,-0.487183,0.181641,0.264160,15.747074,6.469728,7.995607,stair_down
1769345183.3292067,-0.559570,0.213013,0.254272,20.263672,7.263186,12.268070,stair_down
1769345183.3508463,-0.525391,0.201050,0.271484,13.305668,-5.615236,0.793457,stair_down
1769345183.3687122,-0.635742,0.243164,0.257446,6.042482,-9.033203,-8.117676,stair_down
1769345183.3900754,-0.687134,0.235962,0.218140,3.967286,-9.582520,-5.065918,stair_down
1769345183.425285,-0.683105,0.215820,0.184570,0.671387,-3.845216,1.037598,stair_down
1769345183.4296575,-0.686768,0.224609,0.176392,-12.390141,-11.413578,2.563477,stair_down
1769345183.4463384,-0.777222,0.279541,0.149414,-12.512211,-4.150391,9.887695,stair_down
1769345183.4709082,-0.717896,0.268677,0.146851,-16.967773,-14.343266,4.760742,stair_down
1769345183.4878664,-0.948730,0.319092,0.133789,-26.794441,-13.610844,12.817387,stair_down
1769345183.5103972,-0.891479,0.338867,0.155884,-20.385742,-2.441406,16.540527,stair_down
1769345183.5297043,-0.859741,0.293091,0.210327,-15.258793,1.831055,18.127441,stair_down
1769345183.5503087,-0.899414,0.338257,0.250977,-13.977055,4.577637,19.287109,stair_down
1769345183.572616,-1.035767,0.372803,0.310181,-6.835939,4.943848,15.930180,stair_down
1769345183.5965333,-1.265259,0.285156,0.342163,-1.770020,14.160160,12.329105,stair_down
1769345183.6083431,-1.235596,0.200928,0.321411,-7.141115,18.920898,3.234864,stair_down
1769345183.6268368,-1.168701,0.123779,0.373413,-9.399414,-3.601075,-8.544922,stair_down
1769345183.6506724,-1.187500,0.129517,0.386719,-8.911133,-16.906738,-11.596684,stair_down
1769345183.6713805,-1.384888,0.216675,0.384277,-9.887695,-21.667480,-12.023930,stair_down
1769345183.6925445,-1.440308,0.219604,0.325928,-6.958010,-9.338379,-19.409180,stair_down
1769345183.7119074,-1.313110,0.245850,0.244873,-4.089355,-5.187988,-16.113281,stair_down
1769345183.726522,-1.200439,0.300293,0.256836,-1.647950,-14.038090,-23.925789,stair_down
1769345183.7501264,-1.032471,0.335571,0.286255,6.408693,-12.451176,-20.690918,stair_down
1769345183.7671237,-1.007202,0.432617,0.246338,11.840824,-12.573246,-17.211914,stair_down
1769345183.7871094,-0.963501,0.405029,0.174194,16.479492,-6.103518,-13.732914,stair_down
1769345183.8102021,-0.891479,0.337280,0.128784,17.761230,-2.624512,-7.324221,stair_down
1769345183.8276293,-0.829834,0.270386,0.143066,19.592285,-2.624512,-1.892090,stair_down
1769345183.8508725,-0.837524,0.191895,0.148804,19.287109,-0.366211,3.051759,stair_down
1769345183.87103,-0.739258,0.124878,0.192871,21.789551,4.028320,4.943848,stair_down
